,tx_price,beds,baths,sqft,year_built,lot_size,property_type,exterior_walls,roof,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,tx_year,cosin_simularity
184,275000.0,2,2,959.0,2002,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,98,7,7,10,95,4,37,33,33.0,71.0,84.0,229.0,69.0,9.0,3.0,2003,0.9999973313067994
282,250000.0,2,2,1220.0,1994,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,16,1,1,3,5,0,12,4,37.0,47.0,58.0,192.0,58.0,7.0,2.0,2004,0.9999972990288044
172,277000.0,2,2,899.0,2000,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,75,3,8,12,82,9,37,34,56.0,25.0,67.0,269.0,82.0,7.0,3.0,2009,0.9999972477823662
158,239900.0,2,1,1250.0,1983,0,Apartment / Condo / Townhouse,Stucco,Gravel/Rock,1.0,39,15,7,4,35,0,11,7,35.0,44.0,80.0,217.0,66.0,4.0,3.0,2007,0.99999721172667
176,275000.0,2,2,933.0,1990,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,80,7,7,7,42,6,41,15,33.0,62.0,51.0,184.0,56.0,8.0,3.0,2005,0.9999971771947511
157,231525.0,2,1,1242.0,1984,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1.0,33,4,3,5,24,2,22,17,37.0,50.0,63.0,225.0,68.0,8.0,3.0,2012,0.9999970882440893
287,230000.0,2,2,1244.0,1998,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,44,15,1,4,56,3,21,6,37.0,62.0,55.0,201.0,61.0,4.0,3.0,2011,0.9999970817763298
195,278000.0,2,2,1002.0,2006,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,72,1,8,11,75,9,25,30,43.0,61.0,86.0,282.0,86.0,6.0,3.0,2008,0.9999970607284439
49,279000.0,1,1,796.0,1986,0,Apartment / Condo / Townhouse,Concrete,Gravel/Rock,1.0,134,5,22,28,314,7,96,34,64.0,52.0,63.0,286.0,87.0,8.0,3.0,2014,0.999996958846976
292,257000.0,2,2,1256.0,1988,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1.0,20,2,1,3,17,5,15,13,45.0,65.0,76.0,270.0,82.0,5.0,3.0,2011,0.9999969267428714
224,209000.0,2,2,1100.0,1995,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,44,15,1,4,51,3,20,5,37.0,62.0,55.0,188.0,57.0,4.0,3.0,2012,0.9999969133402509
185,279537.0,2,2,969.0,1988,0,Single-Family,Brick,Composition Shingle,1.0,117,6,17,17,243,11,66,42,32.0,33.0,92.0,278.0,85.0,10.0,3.0,2002,0.9999968993967829
63,280000.0,1,1,850.0,1986,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,66,11,5,9,28,5,52,14,56.0,24.0,66.0,180.0,55.0,5.0,3.0,2005,0.9999967389517986
261,275250.0,2,2,1181.0,2003,0,Apartment / Condo / Townhouse,Metal,Composition Shingle,1.0,67,8,3,7,121,6,42,22,34.0,58.0,76.0,270.0,82.0,7.0,3.0,2003,0.999996688032921
460,250000.0,3,2,1332.0,2003,0,Single-Family,Brick,Composition Shingle,1.0,63,9,4,6,101,3,35,22,34.0,48.0,62.0,258.0,78.0,9.0,3.0,2011,0.9999966673493998
190,279000.0,2,2,986.0,1971,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,20,2,1,2,15,6,14,13,33.0,57.0,41.0,180.0,54.0,7.0,3.0,2005,0.9999965599402743
40,284000.0,1,1,755.0,1996,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,41,5,3,4,46,2,31,16,40.0,64.0,77.0,258.0,78.0,10.0,3.0,2012,0.9999965110329502
60,284900.0,1,1,838.0,2007,0,Apartment / Condo / Townhouse,Block,Roll Composition,1.0,71,13,5,13,31,12,48,28,32.0,43.0,63.0,249.0,76.0,5.0,3.0,2008,0.9999965108529393
128,285000.0,2,1,966.0,1994,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1.0,109,12,10,14,103,12,60,44,52.0,42.0,63.0,258.0,78.0,7.0,3.0,2013,0.999996506576348
42,285850.0,1,1,759.0,2006,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,99,9,8,11,103,4,46,34,31.0,30.0,99.0,266.0,81.0,8.0,3.0,2006,0.9999964557991293
50,286900.0,1,1,797.0,2005,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,58,3,4,11,166,6,36,9,32.0,69.0,70.0,184.0,56.0,7.0,3.0,2006,0.9999963839437801
243,280000.0,2,2,1141.0,1975,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,58,5,4,7,79,5,85,25,47.0,41.0,78.0,327.0,99.0,9.0,3.0,2003,0.9999962637849351
169,286499.0,2,2,886.0,1981,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,19,3,1,5,28,3,9,13,48.0,40.0,59.0,195.0,59.0,7.0,1.0,2005,0.9999961076364828
281,279000.0,2,2,1218.0,2001,0,Apartment / Condo / Townhouse,Metal,Composition Shingle,1.0,24,6,4,7,29,1,19,11,31.0,57.0,95.0,327.0,99.0,8.0,3.0,2003,0.9999960862813275
235,285000.0,2,2,1130.0,1990,0,Apartment / Condo / Townhouse,Metal,Composition Shingle,1.0,49,6,6,4,44,4,18,14,36.0,39.0,84.0,254.0,77.0,6.5,2.0,2014,0.9999960518639501
361,285000.0,3,1,943.0,1950,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,8,1,0,3,9,2,10,9,35.0,29.0,73.0,223.0,68.0,4.0,3.0,2009,0.9999960087673325
26,290800.0,1,1,704.0,2006,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,99,9,8,11,103,4,46,34,31.0,30.0,99.0,257.0,78.0,8.0,3.0,2006,0.9999958752474764
206,289500.0,2,2,1045.0,1996,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,25,3,2,0,18,4,13,19,33.0,35.0,83.0,253.0,77.0,5.0,3.0,2012,0.9999958548190352
197,290000.0,2,2,1012.0,1995,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,12,2,1,3,15,3,12,10,39.0,33.0,74.0,245.0,74.0,5.0,3.0,2013,0.9999958456000003
264,209480.0,2,2,1188.0,2001,0,Apartment / Condo / Townhouse,Metal,Composition Shingle,1.0,24,6,4,7,29,1,19,11,31.0,57.0,95.0,302.0,92.0,8.0,3.0,2001,0.9999958059222189
314,254900.0,2,2,1392.0,1986,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1.0,23,3,1,5,12,3,13,13,43.0,22.0,67.0,220.0,67.0,7.0,3.0,2009,0.9999958049243048
244,289900.0,2,2,1145.0,2005,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,58,3,4,11,166,6,36,9,32.0,69.0,70.0,245.0,74.0,7.0,3.0,2006,0.9999957949872585
296,278000.0,2,2,1293.0,1984,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,98,18,18,18,93,8,49,20,52.0,33.0,53.0,262.0,79.0,3.0,3.0,2004,0.9999957837697475
256,285000.0,2,2,1166.0,1965,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,105,15,6,13,87,2,26,14,39.0,73.0,69.0,200.0,61.0,3.0,3.0,2005,0.9999957337205153
245,290000.0,2,2,1148.0,1998,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,82,8,5,8,89,4,26,32,33.0,71.0,84.0,265.0,81.0,9.0,3.0,2003,0.999995655691153
308,267000.0,2,2,1360.0,1967,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,4,1,2,0,11,1,8,1,44.0,77.0,56.0,237.0,72.0,9.0,3.0,2010,0.9999956475492724
238,290000.0,2,2,1132.0,1978,0,Apartment / Condo / Townhouse,Concrete,Gravel/Rock,1.0,167,7,23,29,340,12,113,51,43.0,64.0,72.0,335.0,102.0,10.0,3.0,2015,0.9999955015162696
417,200750.0,3,2,1131.0,1977,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1.0,38,2,3,5,64,2,65,18,40.0,75.0,57.0,249.0,76.0,9.0,3.0,2008,0.999995387004315
313,274500.0,2,2,1389.0,1979,0,Apartment / Condo / Townhouse,Brick,Other,1.0,88,17,18,18,88,6,47,25,59.0,54.0,57.0,242.0,73.0,3.0,3.0,2012,0.999995361459615
237,293815.0,2,2,1130.0,1993,0,Apartment / Condo / Townhouse,Metal,Composition Shingle,1.0,51,6,6,5,47,5,32,17,44.0,71.0,63.0,245.0,75.0,6.0,3.0,2010,0.9999953201207611
482,271000.0,3,2,1400.0,1972,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,78,3,13,10,65,4,38,12,41.0,75.0,56.0,192.0,58.0,7.0,3.0,2005,0.99999529046935
236,296000.0,2,2,1130.0,1992,0,Apartment / Condo / Townhouse,Metal,Composition Shingle,1.0,53,7,6,5,49,6,31,17,44.0,71.0,63.0,258.0,78.0,6.0,3.0,2013,0.9999951558873803
247,295000.0,2,2,1150.0,1974,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,87,5,11,18,215,5,42,20,41.0,22.0,75.0,241.0,73.0,8.0,3.0,2004,0.9999951251989992
54,300367.0,1,1,805.0,2007,0,Apartment / Condo / Townhouse,Block,Roll Composition,1.0,71,13,5,13,31,12,48,28,32.0,43.0,63.0,261.0,79.0,5.0,3.0,2007,0.9999949861173691
286,295000.0,2,2,1242.0,2007,0,Single-Family,Block,Roll Composition,1.0,71,13,5,13,31,12,48,28,32.0,43.0,63.0,348.0,106.0,5.0,3.0,2011,0.9999949152089236
276,295000.0,2,2,1205.0,1987,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,44,5,4,7,46,3,32,13,31.0,61.0,38.0,218.0,66.0,4.0,3.0,2005,0.9999948694641857
303,289000.0,2,2,1343.0,1982,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,95,18,19,18,92,6,49,21,52.0,33.0,53.0,270.0,82.0,3.0,3.0,2014,0.9999948419166212
213,300000.0,2,2,1074.0,1987,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,31,5,4,4,33,0,37,11,35.0,50.0,82.0,301.0,92.0,8.0,3.0,2008,0.9999948220743677
85,302000.0,1,1,1014.0,1985,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,101,8,8,11,70,4,30,23,33.0,48.0,85.0,284.0,86.0,4.0,3.0,2011,0.999994799668837
319,271000.0,2,2,1470.0,1986,0,Single-Family,Siding (Alum/Vinyl),Composition Shingle,1.0,35,5,4,5,24,3,21,16,34.0,36.0,86.0,245.0,75.0,8.0,3.0,2012,0.999994784976855
284,295990.0,2,2,1230.0,1997,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,35,2,6,5,36,0,11,6,36.0,61.0,64.0,254.0,77.0,7.0,3.0,2004,0.9999947759148927
140,299900.0,2,1,1032.0,1964,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,76,16,12,11,90,5,29,22,40.0,50.0,55.0,154.0,47.0,3.0,3.0,2006,0.9999946841760906
293,299000.0,2,2,1263.0,1997,0,Apartment / Condo / Townhouse,Other,Gravel/Rock,1.0,99,17,18,18,93,8,46,19,44.0,26.0,70.0,262.0,80.0,3.0,3.0,2012,0.9999945668068959
144,300000.0,2,1,1073.0,1972,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,21,3,1,5,13,3,11,12,43.0,22.0,67.0,179.0,54.0,7.0,3.0,2005,0.9999945461253635
516,260000.0,3,2,1518.0,1991,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,25,2,3,3,8,0,9,6,39.0,36.0,37.0,257.0,78.0,8.0,3.0,2010,0.9999944942111838
72,305000.0,1,1,902.0,1978,0,Apartment / Condo / Townhouse,Concrete,Gravel/Rock,1.0,167,7,23,29,340,12,113,51,43.0,64.0,72.0,258.0,78.0,10.0,3.0,2005,0.9999943778928175
62,305000.0,1,1,850.0,1984,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,66,11,5,11,24,5,50,15,56.0,24.0,66.0,200.0,61.0,5.0,3.0,2006,0.9999943186638953
381,295000.0,3,1,1302.0,1972,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,63,4,5,5,38,4,42,12,30.0,46.0,36.0,179.0,54.0,7.0,3.0,2005,0.9999943115983992
462,211500.0,3,2,1338.0,1967,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,74,5,8,12,89,11,34,30,61.0,38.0,66.0,184.0,56.0,7.0,3.0,2012,0.9999942781403731
249,305000.0,2,2,1152.0,1995,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,35,3,3,1,20,4,11,19,33.0,35.0,83.0,268.0,81.0,5.0,3.0,2013,0.999994265132134
246,306755.0,2,2,1149.0,1997,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,64,3,10,15,164,3,39,13,36.0,47.0,83.0,319.0,97.0,8.0,3.0,2003,0.9999942589122964
178,307500.0,2,2,940.0,1988,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,32,3,0,7,86,3,26,10,35.0,69.0,80.0,155.0,47.0,9.0,3.0,2005,0.9999941643362084
318,299000.0,2,2,1439.0,1982,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,95,18,19,18,92,6,49,21,52.0,33.0,53.0,270.0,82.0,3.0,3.0,2013,0.9999935969797329
232,313500.0,2,2,1120.0,1997,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,44,16,1,4,56,3,21,6,37.0,62.0,55.0,204.0,62.0,4.0,3.0,2006,0.9999935124090553
218,316500.0,2,2,1082.0,1993,0,Apartment / Condo / Townhouse,Stucco,Composition Shingle,1.0,117,11,10,15,103,13,58,44,52.0,42.0,63.0,282.0,86.0,7.0,3.0,2010,0.9999934005864911
125,235000.0,2,1,960.0,1985,800,Single-Family,Siding (Alum/Vinyl),Composition Shingle,1.0,69,6,5,8,40,4,44,15,30.0,50.0,45.0,204.0,62.0,6.0,3.0,2014,0.9999933881951799
202,315000.0,2,2,1040.0,1990,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,80,7,7,7,42,6,41,15,33.0,62.0,51.0,196.0,59.0,8.0,3.0,2006,0.9999933832868199
258,315000.0,2,2,1170.0,1997,0,Single-Family,Siding (Alum/Vinyl),Composition Shingle,1.0,39,6,3,3,37,6,27,15,40.0,51.0,72.0,237.0,72.0,6.0,3.0,2004,0.9999932671185827
728,310000.0,3,3,1366.0,1998,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,85,8,5,8,94,4,27,33,33.0,71.0,84.0,336.0,102.0,9.0,3.0,2010,0.9999932532589172
154,312000.0,2,1,1200.0,1950,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,8,1,0,3,9,2,10,9,35.0,29.0,73.0,295.0,89.0,4.0,3.0,2012,0.9999931022128429
25,320000.0,1,1,704.0,2005,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,99,8,8,11,103,4,47,34,31.0,30.0,99.0,261.0,79.0,8.0,3.0,2007,0.9999928240300028
411,320000.0,3,2,1084.0,1967,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,119,6,21,23,302,6,98,35,36.0,42.0,67.0,274.0,83.0,8.0,3.0,2005,0.999992819371225
295,319990.0,2,2,1288.0,1991,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,50,1,4,7,163,4,33,12,40.0,40.0,74.0,299.0,91.0,7.0,3.0,2011,0.9999926924186164
537,300000.0,3,2,1593.0,1991,0,Apartment / Condo / Townhouse,Metal,Composition Shingle,1.0,49,1,4,6,158,3,31,14,40.0,40.0,74.0,307.0,93.0,7.0,3.0,2009,0.9999926089231507
294,320000.0,2,2,1270.0,1996,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,30,3,3,1,17,4,13,19,33.0,35.0,83.0,269.0,82.0,5.0,3.0,2010,0.9999925687837006
106,326000.0,2,1,893.0,2003,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,114,9,10,16,101,10,60,41,32.0,32.0,88.0,303.0,92.0,7.0,3.0,2011,0.99999254549655
78,325000.0,1,1,934.0,1993,0,Apartment / Condo / Townhouse,Stucco,Composition Shingle,1.0,121,11,10,15,109,13,59,44,52.0,42.0,63.0,180.0,54.0,7.0,3.0,2005,0.9999924517226997
783,285000.0,3,3,1661.0,1976,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,21,2,0,4,19,3,11,12,45.0,61.0,70.0,270.0,82.0,6.0,3.0,2011,0.9999924405924749
242,325000.0,2,2,1139.0,1985,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,104,8,8,12,72,4,31,24,33.0,48.0,85.0,327.0,99.0,4.0,3.0,2008,0.999992391973727
490,317500.0,3,2,1421.0,1985,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,60,14,4,5,83,3,16,11,43.0,73.0,41.0,336.0,102.0,3.0,3.0,2003,0.9999921985074807
456,200000.0,3,2,1330.0,1972,0,Apartment / Condo / Townhouse,Brick,Gravel/Rock,1.0,32,1,0,3,27,6,19,25,47.0,51.0,77.0,211.0,64.0,7.0,3.0,2010,0.9999921580613919
785,241000.0,3,3,1674.0,1988,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1.0,21,4,1,3,17,5,15,13,45.0,65.0,76.0,348.0,106.0,5.0,3.0,2002,0.9999917492448314
216,335000.0,2,2,1077.0,1980,0,Apartment / Condo / Townhouse,Concrete,Built-up,1.0,128,6,15,21,255,11,75,47,43.0,64.0,72.0,277.0,84.0,10.0,3.0,2007,0.9999914790244645
473,325000.0,3,2,1362.0,1963,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,8,1,0,3,10,1,10,10,60.0,15.0,63.0,245.0,75.0,4.0,3.0,2007,0.9999914637236014
410,339500.0,3,2,1064.0,1988,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,32,3,0,7,86,3,26,10,35.0,69.0,80.0,180.0,55.0,9.0,3.0,2006,0.9999908943042383
496,330000.0,3,2,1452.0,1968,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,21,5,2,1,17,0,14,8,32.0,46.0,58.0,244.0,74.0,8.0,3.0,2007,0.9999907546951362
162,336900.0,2,1,1346.0,1986,0,Apartment / Condo / Townhouse,Siding (Alum/Vinyl),Composition Shingle,1.0,35,5,4,5,23,2,21,13,34.0,36.0,86.0,217.0,66.0,8.0,3.0,2007,0.9999906619077483
291,345000.0,2,2,1254.0,1998,0,Apartment / Condo / Townhouse,Brick,Shake Shingle,1.0,79,9,4,9,184,6,49,25,33.0,66.0,83.0,245.0,74.0,7.0,3.0,2006,0.9999904190672249
209,345000.0,2,2,1053.0,1993,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,12,2,1,3,14,3,10,10,39.0,33.0,74.0,245.0,74.0,5.0,3.0,2005,0.9999902950468653
